,ticker1,ticker2,cashWallet,startDate,endDate,SharesOwnedT1,SharesOwnedT2,percentChange
168,RGCO,TSLX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
169,RNAZ,SDAWW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
170,RNXT,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
171,ROIV,TGE,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
172,RR,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
173,RWAYL,TRS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
174,RWAYZ,TRS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
175,RWTN,TRS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
176,SAIHW,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
177,SAJ,TRS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
178,SAR,TRS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
179,SAY,TRS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
180,SCS,TRIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
181,SEG,THR,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
182,SEVN,TRIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
183,SGML,TRIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
184,SGMT,TSE,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
185,SGU,TGE,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
186,SHCO,TSE,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
187,SJ,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
188,SNTG,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
189,SOND,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
190,SONDW,TRUG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
191,SPMA,TRS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
192,SRZN,TGE,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
193,STI,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
194,STWD,TSLX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
195,SUNS,TRIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
196,SWIN,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
197,SYNX,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
198,SYTAW,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
199,TC,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
200,TENX,TSE,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
201,TFSL,TRIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
202,TLS,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
203,TNXP,TSHA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
204,TPGXL,TRS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
205,TRINZ,TRS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
206,TTSH,UFI,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
207,TUYA,WALDW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
208,TVGNW,WALDW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
209,TWG,UTSI,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
210,UHGWW,WALDW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
211,UTSI,VVOS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
212,VANI,WALDW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
213,VAPEW,WALDW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
214,VFSWW,WALDW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
215,VGAS,VVOS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
216,VLYPN,WHFCL,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
217,VS,WALDW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
